gene_id,cell_id,k_pred
0,0,0.044832663822616366
2,0,0.06176783865622712
3,0,0.039787204530369304
4,0,0.03248532860421698
5,0,0.03664473102588386
6,0,0.04010178741090842
7,0,0.04692988363613871
9,0,0.04924276391162126
11,0,0.05381260128128011
12,0,0.026307291602761018
13,0,0.0294813131720295
15,0,0.031019458622886235
17,0,0.025344918535651535
18,0,0.041899271521501164
20,0,0.06702130676554655
21,0,0.015325864590289241
22,0,0.024928824947124947
23,0,0.03434470038686738
24,0,0.044779760465834026
25,0,0.02607421476083742
26,0,0.0227183140733141
27,0,0.05664071354588512
28,0,0.03609283104493359
29,0,0.03261336231569204
30,0,0.08737569346939045
31,0,0.0444826187302574
33,0,0.05051978756015609
34,0,0.04966063920525492
35,0,0.04698985333625652
37,0,0.017946411457017943
38,0,0.05966536261336263
40,0,0.059429203562059454
41,0,0.021061793905953207
42,0,0.02569479178667485
45,0,0.024729297429297442
46,0,0.048595825361990544
47,0,0.03298776693566604
48,0,0.0465691346670466
50,0,0.02152937667702155
51,0,0.031784169258169286
52,0,0.01967036733741036
54,0,0.015955416744416754
55,0,0.01671635593969517
57,0,0.009513446399572629
58,0,0.012792112946763171
59,0,0.015392937732898902
60,0,0.019842742792604284
62,0,0.023829716618063036
63,0,0.019208273967019237
64,0,0.015473797630406572
66,0,0.023154782710902953
67,0,0.01954027568927571
68,0,0.017468305063880273
69,0,0.023859775585151476
70,0,0.02543377537165024
71,0,0.011161000484973807
72,0,0.01798383494724344
73,0,0.024488663201843876
74,0,0.022970271581520225
75,0,0.0261057763779018
76,0,0.014784392597392605
78,0,0.02339133143163949
79,0,0.026192122646026224
80,0,0.0222492845938093
81,0,0.02289714839427393
83,0,0.018649351038351056
84,0,0.01410839961039963
87,0,0.022626309558022643
89,0,0.020152780193420268
90,0,0.020151828149232165
91,0,0.013308819019916183
92,0,0.014425331303331321
93,0,0.015151778809397
94,0,0.024416748278610224
95,0,0.015380394220015385
96,0,0.01331390448456774
97,0,0.013247492242929235
98,0,0.01833030559530561
99,0,0.020317760270130276
0,1,0.046299034331589925
1,1,0.037959934611521216
2,1,0.0635941123340232
3,1,0.04386012086851077
4,1,0.027580939430928604
5,1,0.040221780207930484
6,1,0.03396855734138643
7,1,0.03914968012348225
8,1,0.02086360837843351
9,1,0.05069593114399621
10,1,0.05187989772328111
11,1,0.06412563294102602
13,1,0.023124684998443744
15,1,0.028769117132965448
17,1,0.032279451208143774
18,1,0.034910586273121755
20,1,0.06285654954375099
21,1,0.016578386673546695
22,1,0.029035076153344587
23,1,0.03059200466390094
24,1,0.03592718839675358
25,1,0.022334434226426694
26,1,0.031683345832211975
27,1,0.05657406507777664
28,1,0.037081237753308724
29,1,0.038379100519349056
30,1,0.07780741869278222
31,1,0.04011676469626724
32,1,0.03371222675895299
33,1,0.05642034797720845
35,1,0.04680245844637624
37,1,0.022409750806511464
38,1,0.056296244724939826
39,1,0.03456286927674607
40,1,0.0507595406524938
42,1,0.026507552208824267
44,1,0.0229751748508653
45,1,0.027183032253205494
46,1,0.04711881746601187
47,1,0.02976586488709499
48,1,0.04310924744737727
50,1,0.02088189837450093
51,1,0.022337310051850554
52,1,0.017031622212711792
53,1,0.01775431310301032
54,1,0.013399422487374392
55,1,0.016675180361607776
56,1,0.015524264077460255
58,1,0.012270044342172628
60,1,0.02127028206442372
61,1,0.01710386627356616
62,1,0.023524682478729908
63,1,0.01757602232206529
64,1,0.014168328525585958
65,1,0.015353489169956665
66,1,0.02336168341193867
67,1,0.016853976261996195
68,1,0.017922002018077744
69,1,0.021649440281730596
73,1,0.020658299572306752
74,1,0.02124858218008012
75,1,0.018867179570478527
76,1,0.014833567108760663
77,1,0.016321192176768695
78,1,0.022269947095788372
79,1,0.024041661377080293
80,1,0.016819633321882334
81,1,0.021799469740644038
83,1,0.013967520390617036
84,1,0.011975676638706552
85,1,0.024236590483595773
87,1,0.019999597925909638
88,1,0.016872239450871813
89,1,0.01960906499428686
91,1,0.019644197748850574
92,1,0.014420852023010914
93,1,0.014655289384388296
96,1,0.011261620243268567
97,1,0.014573580056798454
99,1,0.017704065016254267
1,2,0.034503805872962916
2,2,0.06331032535284942
5,2,0.027842868983948412
6,2,0.04043879080641635
7,2,0.04189040257712393
8,2,0.021701759950652568
9,2,0.041090781085651076
10,2,0.05450238204903714
12,2,0.026345289533552703
13,2,0.031818744577175435
14,2,0.024945243915024947
15,2,0.04207221256421254
16,2,0.04192722286704193
18,2,0.03957165566673152
19,2,0.024647714083990472
20,2,0.05502678349564772
21,2,0.017627791786178848
22,2,0.025279217775025262
25,2,0.02049229111602048
26,2,0.03067273118828195
27,2,0.0402041966068838
28,2,0.035793218440035794
29,2,0.04030872287188159
30,2,0.06416891707269641
31,2,0.0410246084492573
32,2,0.024435810232203113
33,2,0.04771773089370613
34,2,0.03898371741469976
35,2,0.04070832517332517
36,2,0.0426357095893761
38,2,0.06489370258674605
40,2,0.05161969133037146
41,2,0.020365843178900205
42,2,0.02340919860019859
43,2,0.047190138955955405
44,2,0.025588815413710317
45,2,0.02344381766700901
46,2,0.044246691874515666
47,2,0.02980978855240917
48,2,0.04988010028204988
49,2,0.06035057564078741
50,2,0.02028286159378223
52,2,0.01967481565450961
54,2,0.013484323290013485
55,2,0.010303415865415864
56,2,0.014387385268385261
57,2,0.009298948279917767
58,2,0.011597958348591474
60,2,0.018288192087844483
61,2,0.019223846035259447
62,2,0.022379654511338432
63,2,0.016769284584284574
64,2,0.017230301614301606
65,2,0.01499140361201499
67,2,0.017477767229642605
68,2,0.01631077500365434
69,2,0.014320866213792149
70,2,0.03354713334413334
71,2,0.014085322720014082
74,2,0.02177419921637665
75,2,0.031968160631160626
78,2,0.01705134687701705
79,2,0.01634529730757826
80,2,0.016847186093847583
81,2,0.015852279742279738
82,2,0.015247323869323873
85,2,0.016574881009542092
86,2,0.022478648995209207
87,2,0.020109259437020105
88,2,0.017736717304867512
90,2,0.019321791067405187
91,2,0.020433654672069066
93,2,0.010255459608459604
94,2,0.01836076369838169
95,2,0.015659857384436524
96,2,0.017584825808921695
97,2,0.019798760254630468
98,2,0.02037231179989464
99,2,0.013544831173922354
0,3,0.044519748207251825
2,3,0.06156319886667094
3,3,0.037867260031293155
4,3,0.0363223014143675
7,3,0.047404336256122934
8,3,0.01963062695872647
9,3,0.04610784516904616
10,3,0.05605565941790969
11,3,0.04298578870921133
12,3,0.031212791044208998
13,3,0.02812163150304927
14,3,0.03071624291839394
15,3,0.036604218268664064
17,3,0.023732048261271774
18,3,0.04366482278517727
19,3,0.03152422642114464
22,3,0.02962176935923068
23,3,0.028804737236262798
24,3,0.03265222276466039
25,3,0.024297639024361006
26,3,0.031769794166205866
27,3,0.0530268328089389
28,3,0.039772734015266015
29,3,0.03724073005926997
30,3,0.06636116458695092
31,3,0.03907077630403911
32,3,0.030908820126881984
34,3,0.044321764710235315
35,3,0.04813812433411698
37,3,0.017956606164017973
38,3,0.06866553308126343
40,3,0.061812284494388706
41,3,0.022231244284889012
42,3,0.02451429613936422
43,3,0.0481421853874314
44,3,0.031791188207481835
45,3,0.021926633313366715
46,3,0.05108968963982894
47,3,0.02380901046897239
48,3,0.04764618387573734
49,3,0.0661488260280662
50,3,0.018172604893018193
51,3,0.032877348381461044
52,3,0.015609126418802584
53,3,0.013321602974780737
55,3,0.016093200269773376
56,3,0.01397157123784357
59,3,0.02282865311199503
60,3,0.019366734262758527
61,3,0.01852714379793739
62,3,0.01636413111444265
63,3,0.01530861852538149
64,3,0.01690370687846448
65,3,0.01677412234916899
67,3,0.02037822324115498
68,3,0.020158317641013505
69,3,0.020594722731277295
70,3,0.030897272245273083
71,3,0.010494522757477245
72,3,0.018352616045383973
73,3,0.025334777938418828
74,3,0.02249776717623286
75,3,0.030834843195156846
76,3,0.013192110130328219
77,3,0.01699271122928881
78,3,0.02219873202202223
79,3,0.021346222030156303
80,3,0.017902711983558164
82,3,0.016484633721716095
84,3,0.014687589358806607
85,3,0.027492782724217315
86,3,0.02095316837054766
87,3,0.024230204563181073
89,3,0.020728226898901695
91,3,0.020170242782125775
92,3,0.012301106189953063
94,3,0.02836726793758395
96,3,0.01934873996301938
97,3,0.021293120331525632
98,3,0.01752071431555388
0,4,0.0469804373105634
1,4,0.03331609883960468
2,4,0.0681093686913458
3,4,0.037074247753405065
4,4,0.03229963916532755
5,4,0.037987773709053874
6,4,0.044201297361758915
7,4,0.04133085080761292
9,4,0.0520485671433438
11,4,0.06415214716741137
12,4,0.02655535648630543
13,4,0.025906857985606477
15,4,0.0372758255726724
18,4,0.037143931144036295
20,4,0.06279593788443753
21,4,0.017611773717060995
22,4,0.02801583070473444
23,4,0.029440035167859358
24,4,0.035435539118162676
25,4,0.03008438513820674
26,4,0.026303917420285077
27,4,0.05573158244137833
28,4,0.04018997434223776
30,4,0.08213551218755308
31,4,0.03677109280686869
32,4,0.03366974439184107
34,4,0.04337959250951302
35,4,0.04927940592717021
37,4,0.01816929680418227
38,4,0.06360357060189262
40,4,0.06863606001975997
42,4,0.02570263753482006
43,4,0.05224853893384429
45,4,0.021732617044123895
46,4,0.055077594372344565
47,4,0.03259051737528277
48,4,0.05417582945075146
49,4,0.058436464854489924
50,4,0.02056587977949987
51,4,0.04033953716985137
52,4,0.014960329486292744
55,4,0.014566058420591303
56,4,0.014425061165195922
57,4,0.009960072243598942
58,4,0.013154177758828215
59,4,0.015342499219442553
60,4,0.018279679374663765
61,4,0.015745089289066722
62,4,0.02365039241540441
63,4,0.013369303236073639
65,4,0.014385867687342334
66,4,0.02092219367608662
67,4,0.018380980901130838
68,4,0.020600289174471754
69,4,0.020602889624441522
70,4,0.023848203163485935
71,4,0.010714258762964961
72,4,0.01610747411056503
73,4,0.022377963452146224
74,4,0.019555541534024015
76,4,0.014241785925934856
79,4,0.025132395695905925
80,4,0.0162018108746322
83,4,0.017793226308446052
84,4,0.015313017833389139
85,4,0.02733323766309037
86,4,0.01630218247989857
87,4,0.02268384938854259
88,4,0.015770669323421346
89,4,0.022153653668256498
90,4,0.020872179648886723
91,4,0.012413681639542165
92,4,0.014389408484900033
94,4,0.025105071047715845
95,4,0.01628933416796369
96,4,0.01683218479338691
97,4,0.02001328624353819
98,4,0.01773556078612514
99,4,0.018605909706377072
0,5,0.044219213193400726
1,5,0.03450619994294841
3,5,0.047108382495332356
4,5,0.038801838769038845
6,5,0.041166748534251514
7,5,0.043832189503960534
8,5,0.020109128057797875
9,5,0.03289868019560676
10,5,0.056287299060878655
14,5,0.023119156261933446
15,5,0.048063383821264044
16,5,0.04952914268756903
17,5,0.026176200882639736
18,5,0.03454871132979696
20,5,0.05931914665875038
21,5,0.018863676333628503
22,5,0.025184249526211976
23,5,0.03203324100162251
24,5,0.0363937521352479
27,5,0.04999020685816474
28,5,0.04129676581542712
29,5,0.04037275324304041
30,5,0.07325857786877103
31,5,0.05095091928502123
32,5,0.020495769528600577
33,5,0.048254348011142686
34,5,0.037376254126391666
35,5,0.034573676550034606
36,5,0.03608079159203613
37,5,0.02029309933060163
39,5,0.027391195056916194
40,5,0.06201674401925601
42,5,0.028453764185235854
43,5,0.04175163848668129
44,5,0.020550657751698877
45,5,0.027504749601473328
46,5,0.05539308155843916
47,5,0.03344371346228656
48,5,0.049590290604699154
49,5,0.06060128353488857
50,5,0.02456627449467413
51,5,0.025006767868439306
52,5,0.01640771169501644
54,5,0.016954176476420262
55,5,0.01446470315101449
57,5,0.01079310936007088
59,5,0.012831569243012842
61,5,0.014365082325966026
62,5,0.02438135724621523
63,5,0.014601100941841307
65,5,0.01158449148750852
66,5,0.022403198503911974
67,5,0.018403173354730795
68,5,0.015808742738257296
69,5,0.019369746359019394
70,5,0.02702220729947261
71,5,0.014428121531446462
72,5,0.01654063983001655
73,5,0.02839582242847598
74,5,0.022190298022362123
75,5,0.027823324298203916
76,5,0.012918597570402446
77,5,0.0181681791622222
78,5,0.02276171109928893
79,5,0.01586718819550575
80,5,0.017527280752868423
81,5,0.02132331374251877
83,5,0.01403409677145864
84,5,0.013285095859958733
85,5,0.024898788934838753
86,5,0.020658302650682355
87,5,0.017539089730071185
88,5,0.016995224938412195
89,5,0.02244077765022239
91,5,0.01926724715988608
92,5,0.012805550649885897
95,5,0.017232626939373077
96,5,0.017956205234183203
97,5,0.01533815786242876
0,6,0.04149381854690152
1,6,0.03184428636837272
2,6,0.06626668604756161
3,6,0.043060314142364435
4,6,0.0315288333430315
5,6,0.03643824566667747
7,6,0.03657813966309597
8,6,0.022977126543649164
10,6,0.0520472838885481
11,6,0.06644033661636488
12,6,0.02970516366435289
13,6,0.03289722972990156
15,6,0.03929525570989178
16,6,0.0485887332792667
17,6,0.025763288657868526
18,6,0.03366120260867923
19,6,0.02929070941481314
20,6,0.06355427940639204
22,6,0.020072125358156483
23,6,0.027778729111270863
24,6,0.04150674056147734
27,6,0.05307785948496563
28,6,0.04074625321639374
30,6,0.07526469004130994
32,6,0.03151489067595368
33,6,0.05116522541263629
34,6,0.03275617179902134
35,6,0.04819515465794675
36,6,0.04665834672974333
37,6,0.017476061600398853
38,6,0.06096324056691018
40,6,0.05952514999032621
41,6,0.02705931336985682
43,6,0.05019924138190437
44,6,0.03215474125603214
45,6,0.020725097526606836
46,6,0.055389749757250195
47,6,0.03141908421262668
48,6,0.050801280767553414
49,6,0.06417389563502396
51,6,0.03530532415613662
52,6,0.015337159688927808
53,6,0.017133155170758668
54,6,0.01619520362390627
57,6,0.010249621452010235
59,6,0.020753729653270332
60,6,0.015015736604760131
61,6,0.017281661607338378
62,6,0.015786635576015784
63,6,0.013540644958013534
65,6,0.016813643748356238
66,6,0.022360155064256215
68,6,0.014802693835597507
69,6,0.01878263365171391
70,6,0.027523348862839296
71,6,0.014929198978907965
73,6,0.021942789730833592
74,6,0.015081565319273868
75,6,0.0319523706287332
